dat...date.name.,SPOUT.LEFT.BOTTOM.1FI33513.PV,ROOF.HT.BAY.TOTAL.PWR.1CLBAYTOT_CPV,l_n.2_glass,TMP.GLASS..LEFT.EXIT.1TIC30109.PV,S_AB7_C4_L,re_btm_up_dn,cluster
2016-01-03 10,-0.887966554,0.203679757,4.864248345,-4.846904421,1.243349231,2.479257485,-1.724661025
2016-01-03 11,-0.854310193,0.263600355,4.8655937,-4.846904421,1.235294789,2.623910789,-1.724661025
2016-01-03 12,-0.798315229,0.263639142,4.851595816,-4.846904421,1.2505585,1.972229547,-1.724661025
2016-01-03 13,-0.771486474,0.316949407,4.806401447,-4.846904421,1.264001675,1.843270547,-1.724661025
2016-01-03 14,-0.724668727,0.3959173,4.810322479,-4.846904421,1.250749762,2.184885576,-1.724661025
2016-01-03 15,-0.681492657,0.372680957,4.807653609,-4.846904421,1.217004558,1.956936166,-1.724661025
2016-01-03 16,-0.656470609,0.37082833,4.807129517,-4.846904421,1.193241572,2.025959638,-1.724661025
2016-01-03 17,-0.670894967,0.288067037,4.800443317,-4.846904421,1.197591919,2.043241743,-1.724661025
2016-01-03 18,-0.744079672,0.162597451,4.780748711,-4.846904421,1.196035862,2.0575343,-1.724661025
2016-01-03 19,-0.811334565,0.102558339,4.755750324,-4.846904421,1.179174818,2.080079114,-1.724661025
2016-01-03 20,-0.868276847,0.141829903,4.743391951,-4.846904421,1.202016439,2.09963581,-1.724661025
2016-01-03 21,-0.879144759,0.112114316,4.729402054,-4.846904421,1.257340889,2.101951044,-1.724661025
2016-01-03 22,-0.879843089,0.136000026,4.717211712,-4.846904421,1.303613308,2.083118835,-1.724661025
2016-01-03 23,-0.884759985,0.144079159,4.705800226,-4.846904421,1.340058522,1.984946591,-1.724661025
2016-01-04 00,-0.866937393,0.126946352,4.697271047,-4.846904421,1.390713842,2.004814562,-1.724661025
2016-01-04 01,-0.89372988,0.230155533,4.690571028,-4.846904421,1.382251808,2.030445769,-1.724661025
2016-01-04 02,-0.907678295,0.244945422,4.692332131,-4.846904421,1.367418703,2.014926349,-1.724661025
2016-01-04 03,-0.904601291,0.247301672,4.696878675,-4.846904421,1.349931858,2.095591765,-1.724661025
2016-01-04 04,-0.912694686,1.065592338,4.707810774,-4.846904421,1.347628224,2.143172157,-1.724661025
2016-01-04 05,-0.936606399,0.254284313,4.767630224,-4.846904421,1.047408636,2.143494058,-1.724661025
2016-01-04 06,-0.961063657,0.12033296,4.738961074,-4.846904421,1.090405684,2.160899757,-1.724661025
2016-01-04 07,-0.935077209,-0.009043441,4.719098028,-4.846904421,1.089338436,2.183755661,-1.724661025
2016-01-04 08,-0.949745751,5.332605724,4.762116724,-4.846904421,1.038422467,2.168730844,-1.724661025
2016-01-05 03,-1.398841301,-0.352756222,4.718167275,-4.846904421,1.757346094,1.898052823,-1.724661025
2016-01-05 06,-1.423644165,-0.331966543,4.65406382,-4.846904421,0.897810939,1.640547054,-1.724661025
2016-01-05 11,-1.343914739,0.003885588,4.883977825,-4.846904421,0.81414944,2.046041127,-1.724661025
2016-01-05 12,-1.279082559,-0.053925379,4.835827567,-4.846904421,0.982009532,2.111102234,-1.724661025
2016-01-05 13,-1.207819565,-0.086687145,4.808921427,-4.846904421,1.036727263,2.092874003,-1.724661025
2016-01-05 14,-1.135361214,0.034262968,4.794494765,-4.846904421,1.13469356,2.090227663,-1.724661025
2016-01-05 15,-1.062222801,0.101238531,4.790356725,-4.846904421,1.250868117,2.083613865,-1.724661025
2016-01-05 17,-1.082770889,0.292789092,4.791329679,-4.846904421,1.497162897,2.08366958,-1.724661025
2016-01-05 18,-1.154097643,0.281955115,4.798762591,-4.846904421,1.651912753,2.07766267,-1.724661025
2016-01-05 19,-1.240220338,0.317386863,4.811971025,-4.846904421,1.705272118,2.092464636,-1.724661025
2016-01-05 20,-1.297072882,0.290301488,4.821236093,-4.846904421,1.674773729,2.080439082,-1.724661025
2016-01-05 21,-1.361372685,0.321978659,4.821963037,-4.846904421,1.643157892,2.07482001,-1.724661025
2016-01-05 22,-1.41673299,0.328600474,4.821626881,-4.846904421,1.623406465,2.065625023,-1.724661025
2016-01-05 23,-1.46555581,0.323351983,4.817474513,-4.846904421,1.620644218,2.061634338,-1.724661025
2016-01-06 00,-1.503798852,0.337583712,4.812046061,-4.846904421,1.652453781,2.053790466,-1.724661025
2016-01-06 01,-1.531467898,0.36410175,4.809420026,-4.846904421,1.679631454,2.047555323,-1.724661025
2016-01-06 02,-1.568542747,0.413109628,4.81111746,-4.846904421,1.713874257,2.014957972,-1.724661025
2016-01-06 03,-1.578279506,0.40473595,4.809689243,-4.846904421,1.797142355,2.031707142,-1.724661025
2016-01-06 04,-1.60537881,0.415041942,4.807613333,-4.846904421,1.873605152,2.055165464,-1.724661025
2016-01-06 05,-1.626049197,0.446496741,4.806626137,-4.846904421,1.976299499,2.05922181,-1.724661025
2016-01-06 06,-1.594827619,0.456574205,4.806672778,-4.846904421,2.054757748,2.068707374,-1.724661025
2016-01-06 07,-1.543263022,0.439374324,4.807968861,-4.846904421,2.093209015,1.950438233,-1.724661025
2016-01-06 08,-1.506773693,0.419634872,4.805704672,-4.846904421,2.130200865,1.835681414,-1.724661025
2016-01-06 10,-1.42741428,0.319402076,4.81428691,-4.846904421,2.059763067,1.867162698,-1.724661025
2016-01-06 11,-1.299070898,0.196377002,4.814918782,-4.846904421,2.070872002,1.893221149,-1.701394213
2016-01-06 12,-1.210747076,0.108986975,4.816928353,-4.846904421,2.100589849,1.95453312,-1.701394213
2016-01-06 13,-1.093355828,0.036024387,4.824102686,-4.846904421,2.07327467,1.984455557,-1.701394213
2016-01-06 14,-1.06839742,-0.032570062,4.829516257,-4.846904421,2.042537074,1.969261849,-1.701394213
2016-01-06 15,-1.044526839,-0.076679324,4.828748778,-4.846904421,2.081114972,1.971440405,-1.701394213
2016-01-06 16,-1.035082603,-0.18719836,4.833026796,-4.846904421,2.111745258,1.962180925,-1.701394213
2016-01-06 17,-1.064061359,-0.258956708,4.835703374,-4.846904421,2.129141242,1.961315104,-1.701394213
2016-01-06 20,-1.213798754,-0.328111318,4.84627933,-4.846904421,2.061499615,1.841969501,-1.701394213
2016-01-06 21,-1.253454588,-0.286089329,4.83578489,-4.846904421,2.060247499,2.005813204,-1.701394213
2016-01-06 22,-1.30119234,-0.231209314,4.833282306,-4.846904421,2.070795538,2.042720426,-1.701394213
2016-01-06 23,-1.334861749,-0.297948115,4.831809387,-4.846904421,2.003500153,2.05347531,-1.701394213
2016-01-07 00,-1.355963952,-0.351997708,4.828299653,-4.846904421,2.007170257,2.038329834,-1.701394213
2016-01-07 01,-1.399276942,-0.265881527,4.822480632,-4.846904421,2.011766821,2.061304387,-1.701394213
2016-01-07 02,-1.46107669,-0.273511496,4.82099481,-4.846904421,2.014547534,2.011744671,-1.701394213
2016-01-07 03,-1.530119192,-0.291486698,4.816159521,-4.846904421,1.977524292,1.935738389,-1.701394213
2016-01-07 04,-1.580880894,-0.292354207,4.809166106,-4.846904421,2.01036164,1.93398701,-1.701394213
2016-01-07 05,-1.630022512,-0.29212768,4.805814068,-4.846904421,2.022783904,1.957942164,-1.701394213
2016-01-07 06,-1.66602973,-0.213250881,4.80403781,-4.846904421,2.020942474,1.977935345,-1.701394213
2016-01-07 07,-1.696572729,-0.175106211,4.803951559,-4.846904421,2.075381056,1.993812065,-1.701394213
2016-01-07 08,-1.715263606,-0.141007982,4.808336365,-4.846904421,2.089357497,1.999003858,-1.701394213
2016-01-07 10,-1.633696216,-0.355141704,4.817113858,-4.846904421,2.135734455,2.019449347,-1.701394213
2016-01-07 11,-1.460729334,-0.499726943,4.81880515,-4.846904421,2.166908197,2.038012553,-1.701394213
2016-01-07 12,-1.365078833,-0.400435077,4.819055363,-4.846904421,2.197972509,2.059740482,-1.701394213
2016-01-07 13,-1.248773899,-0.324219005,4.821845552,-4.846904421,2.211219087,2.072514616,-1.701394213
2016-01-07 14,-1.136328906,-0.254807353,4.824647513,-4.846904421,2.25128711,2.064476802,-1.701394213
2016-01-07 15,-1.047197681,-0.069248274,4.83001538,-4.846904421,2.255569576,2.067560181,-1.701394213
2016-01-07 16,-1.013849649,0.029601869,4.8413998,-4.846904421,2.07384538,2.060489327,-1.701394213
2016-01-07 17,-1.063457571,1.30679191,4.868566163,-4.846904421,2.072308542,2.094090783,-1.701394213
2016-01-07 18,-1.164437922,0.425887551,4.96526986,-4.846904421,2.191928907,1.935740537,-1.701394213
2016-01-07 19,-1.26646731,-0.434609143,4.874706,-4.846904421,2.169443206,1.639717973,-1.701394213
2016-01-07 20,-1.328881522,-0.370045158,4.865934415,-4.846904421,2.087999576,1.931507459,-1.701394213
2016-01-07 21,-1.362433317,-0.38288298,4.850410156,-4.846904421,2.045918728,1.977379414,-1.701394213
2016-01-07 22,-1.389739735,-0.382296268,4.835781728,-4.846904421,2.011091263,2.017242819,-1.701394213
2016-01-07 23,-1.412498617,-0.405985779,4.826088144,-4.846904421,1.914248297,2.054391268,-1.701394213
2016-01-08 00,-1.479241566,-0.413238115,4.819708932,-4.846904421,1.82237977,2.017730907,-1.701394213
2016-01-08 01,-1.550282321,-0.397453555,4.81332103,-4.846904421,1.780392998,2.013655678,-1.701394213
2016-01-08 03,-1.660618209,-0.254529387,4.813796633,-4.846904421,1.761099022,1.969344915,-1.701394213
2016-01-08 04,-1.703255141,-0.279119982,4.816726214,-4.846904421,1.756126328,1.967016503,-1.701394213
2016-01-08 05,-1.738748991,-0.281572689,4.819832948,-4.846904421,1.786037044,2.019968539,-1.701394213
2016-01-08 06,-1.771967606,-0.294546775,4.818539117,-4.846904421,1.899670335,2.079022574,-1.701394213
2016-01-08 07,-1.787595773,-0.256063372,4.817950779,-4.846904421,1.994981762,2.049412428,-1.701394213
2016-01-08 08,-1.802003731,-0.251474484,4.815229206,-4.846904421,2.094122207,2.055428185,-1.701394213
2016-01-08 09,-1.812941838,-0.298266794,4.812858077,-4.846904421,2.1770548,2.06663801,-1.701394213
2016-01-08 10,-1.708272599,-0.325085684,4.813513338,-4.846904421,2.204856223,2.076338467,-1.701394213
2016-01-08 11,-1.531698026,-0.344761273,4.814440315,-4.846904421,2.245423247,2.093725501,-1.701394213
2016-01-08 12,-1.378349322,-0.31884358,4.820006618,-4.846904421,2.252843475,2.112917171,-1.701394213
2016-01-08 13,-1.261056234,-0.304235955,4.825766841,-4.846904421,2.224471683,2.105935712,-1.701394213
2016-01-08 14,-1.102620796,-0.400456075,4.832981368,-4.846904421,2.183621647,2.111798701,-1.701394213
2016-01-08 15,-1.021060138,-0.415971016,4.833263104,-4.846904421,2.205645999,2.105025298,-1.678127401
2016-01-08 16,-1.02410028,-0.378757871,4.833648368,-4.846904421,2.201261045,2.077072679,-1.678127401
2016-01-08 17,-1.067554727,-0.324852737,4.837219933,-4.846904421,2.258692531,2.068100116,-1.678127401
2016-01-08 18,-1.146372985,-0.274052887,4.839157372,-4.846904421,2.329376204,2.05282645,-1.678127401
2016-01-08 19,-1.259752248,-0.199665422,4.839973706,-4.846904421,2.30319718,2.041502341,-1.678127401
2016-01-08 20,-1.322309993,-0.069040555,4.845414551,-4.846904421,2.245468181,2.053630641,-1.678127401
2016-01-08 21,-1.374393089,-0.048604263,4.853190567,-4.846904421,2.154160619,2.094020965,-1.678127401
2016-01-08 22,-1.439392408,-0.132294249,4.814743072,-4.846904421,2.106295757,1.883643881,-1.678127401
2016-01-08 23,-1.477691617,-0.176451286,4.793082026,-4.846904421,2.064368385,2.081690188,-1.678127401
2016-01-09 00,-1.533912201,-0.174031096,4.809453146,-4.846904421,2.057474479,2.281623293,-1.678127401
2016-01-09 01,-1.585064764,-0.191973629,4.816430427,-4.846904421,2.071326649,2.333992303,-1.678127401
2016-01-09 02,-1.628103084,-0.222814373,4.818634408,-4.846904421,2.105853798,2.387733758,-1.678127401
2016-01-09 03,-1.665961404,-0.15689625,4.818491228,-4.846904421,2.150988762,2.418438073,-1.678127401
2016-01-09 04,-1.695718826,-0.159701475,4.82000016,-4.846904421,2.178789707,2.322032281,-1.678127401
2016-01-09 05,-1.721148194,-0.254227137,4.815251069,-4.846904421,2.214886489,2.135597011,-1.678127401
2016-01-09 06,-1.740849822,-0.297087743,4.813110929,-4.846904421,2.240721698,2.131142307,-1.678127401
2016-01-09 07,-1.763208265,-0.296614409,4.807469413,-4.846904421,2.252572192,2.021033476,-1.678127401
2016-01-09 08,-1.790900502,-0.225916523,4.805973816,-4.846904421,2.214759619,2.054639135,-1.678127401
2016-01-09 09,-1.789822492,-0.178750885,4.805817467,-4.846904421,2.223059389,2.078674525,-1.678127401
2016-01-09 10,-1.678376121,-0.207850303,4.805864111,-4.846904421,2.250723718,2.092362791,-1.678127401
2016-01-09 11,-1.489425146,-0.176784845,4.802552039,-4.846904421,2.270090533,2.113266456,-1.678127401
2016-01-09 12,-1.333238669,-0.114271877,4.805976091,-4.846904421,2.246762017,2.120724661,-1.678127401
2016-01-09 13,-1.222528498,-0.177708023,4.814736428,-4.846904421,2.205507091,2.12477611,-1.678127401
2016-01-09 14,-1.09021112,-0.147839706,4.818236566,-4.846904421,2.217545667,2.136487687,-1.678127401
2016-01-09 15,-1.017528039,-0.156717876,4.820128169,-4.846904421,2.207117453,2.148599563,-1.678127401
2016-01-09 16,-0.986098071,-0.172187723,4.823430331,-4.846904421,2.128396402,2.170186448,-1.678127401
2016-01-09 17,-1.025380986,-0.207463341,4.825017127,-4.846904421,2.055429032,2.14913325,-1.678127401
2016-01-09 18,-1.126367387,-0.220914538,4.82572457,-4.846904421,2.009777695,2.10549001,-1.678127401
2016-01-09 19,-1.230793895,-0.173231567,4.826667914,-4.846904421,1.993966733,2.07979207,-1.678127401
2016-01-09 20,-1.29690263,-0.138115628,4.822105877,-4.846904421,2.018772618,2.026488346,-1.678127401
2016-01-09 21,-1.348283214,-0.063681861,4.81979212,-4.846904421,2.026226155,2.033223128,-1.678127401
2016-01-09 22,-1.364040413,-0.078185399,4.793984197,-4.846904421,2.014642191,1.574726639,-1.678127401
2016-01-09 23,-1.363184553,-0.092438391,4.819431546,-4.846904421,1.96958882,1.883962062,-1.678127401
2016-01-10 00,-1.366951494,-0.118997029,4.823141118,-4.846904421,1.962350929,2.026275163,-1.678127401
2016-01-10 01,-1.351072945,-0.211496865,4.826629161,-4.846904421,1.956244645,2.073043487,-1.678127401
2016-01-10 02,-1.327401768,-0.311219767,4.825507303,-4.846904421,1.982712769,1.996619165,-1.678127401
2016-01-10 03,-1.317986179,-0.316903863,4.722409074,-4.846904421,2.076687033,2.014730744,-1.678127401
2016-01-10 04,-1.305546254,-0.296192777,4.784758495,-4.846904421,2.115575745,1.994919424,-1.678127401
2016-01-10 05,-1.309710877,-0.272102595,4.817280606,-4.846904421,2.034317188,1.968776845,-1.678127401
2016-01-10 06,-1.313914141,-0.2516518,4.830281176,-4.846904421,1.953143165,1.945093269,-1.678127401
2016-01-10 07,-1.351764661,-0.123307649,4.837476657,-4.846904421,1.891754116,1.927875714,-1.678127401
2016-01-10 08,-1.399533285,-0.076519456,4.839481849,-4.846904421,1.83765716,1.917669567,-1.678127401
2016-01-10 09,-1.430772181,-0.021930247,4.845646653,-4.846904421,1.819404203,1.879202412,-1.678127401
2016-01-10 10,-1.374099261,-0.078250321,4.843354869,-4.846904421,1.79416607,1.925172966,-1.678127401
2016-01-10 11,-1.196870842,-0.169752729,4.836861173,-4.846904421,1.763632254,1.950999685,-1.678127401
2016-01-10 12,-1.098225779,-0.202185242,4.834225389,-4.846904421,1.742622419,1.944455162,-1.678127401
2016-01-10 13,-0.99219434,-0.181129229,4.831432694,-4.846904421,1.748963841,1.955985825,-1.678127401
2016-01-10 14,-0.895740914,-0.109533166,4.824900818,-4.846904421,1.758048496,2.00128703,-1.678127401
2016-01-10 15,-0.839435841,-0.152024297,4.80891319,-4.846904421,1.71767253,1.992625546,-1.654860588
2016-01-10 16,-0.837791528,-0.12542997,4.816359529,-4.846904421,1.786119835,1.96970531,-1.654860588
2016-01-10 17,-0.921586646,-0.058953574,4.824317643,-4.846904421,1.731896966,1.951270063,-1.654860588
2016-01-10 18,-1.019402628,-0.03283666,4.829622016,-4.846904421,1.749779366,1.939448695,-1.654860588
2016-01-10 19,-1.071221937,0.01866611,4.830174322,-4.846904421,1.77270983,1.926122464,-1.654860588
2016-01-10 20,-1.145442453,-0.019035967,4.834081043,-4.846904421,1.712299836,1.912066502,-1.654860588
2016-01-10 21,-1.191244228,-0.054059641,4.835594933,-4.846904421,1.69482708,1.907793924,-1.654860588
2016-01-10 22,-1.248838222,-0.050990084,4.835459055,-4.846904421,1.748653094,1.901577838,-1.654860588
2016-01-10 23,-1.301750873,-0.092805525,4.835925548,-4.846904421,1.822216002,1.890257922,-1.654860588
2016-01-11 00,-1.372344896,-0.131667844,4.835783654,-4.846904421,1.892230854,1.84927122,-1.654860588
2016-01-11 01,-1.421977165,-0.154274573,4.83670861,-4.846904421,1.853704662,1.828981443,-1.654860588
2016-01-11 02,-1.421162971,-0.166848856,4.838665605,-4.846904421,1.755546966,1.834918178,-1.654860588
2016-01-11 03,-1.485478314,-0.163207506,4.838243088,-4.846904421,1.673199856,1.823608887,-1.654860588
2016-01-11 04,-1.567171977,-0.172027288,4.836586725,-4.846904421,1.641006331,1.839775769,-1.654860588
2016-01-11 05,-1.617062132,-0.210040793,4.834741453,-4.846904421,1.625380647,1.89392047,-1.654860588
2016-01-11 06,-1.671987181,-0.223457508,4.832792949,-4.846904421,1.652245557,1.904177632,-1.654860588
